n,m,proc_seed,g_seed
192,1024,4865782901354085936,-1959058156631928421
192,1024,-7048155917072976836,4938113525860761600
192,1024,-931725450029404348,-2077624325542556144
192,1024,-7491968275375482579,3845703752634581000
192,1024,4928188522590161285,1786238307824052196
192,1024,-1007428432199280040,3037069278111072490
192,1024,5567713808534132990,-8939083867262601412
192,1024,8213794561484772545,-50898489198195996
192,1024,-3367828769413532871,1220949610585511547
192,1024,8652272787646516959,7911348447704576803
192,1024,4864424774366972157,531818514821073507
192,1024,-2846324991276127175,3950069680041296326
192,1024,8342437786441781908,8681581585807456973
192,1024,-8826956906620810791,-8204748687045600133
192,1024,2624867767967583412,-6795522981321781717
192,1024,6639841583833311213,4161626803331400340
192,1024,4485264214934594800,-7430655555564423121
192,1024,-3627210669338001931,8484109438989296043
192,1024,-8586482847673412536,781881653577774156
192,1024,4394299721970817643,3240128059657989120
192,1024,-2388435194267017799,-4675821673927682802
192,1024,-8677810281153918397,-5660611880721894707
192,1024,1442090922070958989,3628209669601976183
192,1024,-6080983959558420776,-1229597515535108290
192,1024,4990271223660687949,4124837400324044879
192,1024,-4940478445619517192,-3773224719589149859
192,1024,1435060924987946008,484102683516767065
192,1024,7558645880288028715,4952408198628401641
192,1024,4231686553346609797,1008321115044969292
192,1024,8295856288992347995,-5834107806820141632
192,1024,6825482640694017291,9190485822808512449
192,1024,1003524909364378106,-6719030014104511205
192,1024,87077283397255924,-8419840481237522973
192,1024,5780315143936413001,606210043802614743
192,1024,-2839361199243019857,390329599124664139
192,1024,2074381856300886851,-8136245010194038283
192,1024,1842003053067705283,5067350051054316193
192,1024,6659438099934206990,7476436675575330809
192,1024,3193380898129957358,-273022222014459027
192,1024,6789842420542395666,-6162000692460335752
192,1024,-4036208870519070076,8581565959492073262
192,1024,-5817915258564311153,-5833321036386946150
192,1024,-7941039627319635236,-7156418796562540293
192,1024,-64680565417265885,9080987782689522168
192,1024,-8787391061493573313,4635012789768510025
192,1024,-2889821344194271220,2624082649305182203
192,1024,-5754659086866844192,-2994174941764424985
192,1024,-5065955204473268760,3741101006755283776
192,1024,-6521629712367323699,-5539538277578555575
192,1024,8483534339471415785,1928540747620113390
192,1024,306207011998980863,-4663429438127768358
192,1024,5596474893197288460,8766001912211648618
192,1024,2415561688245483511,-7151987317256589811
192,1024,4380202434070088329,-4041584935330155824
192,1024,8631292670878992424,4359390857087817119
192,1024,-8348255322499775683,3495419668177778724
192,1024,6613423559313926144,716645116004237228
192,1024,4498093175633729984,-6560887114415383141
192,1024,1197944957068526575,613605654678481347
192,1024,6466075703148521455,-226595388134340182
192,1024,5892150350406779606,-6270902393196846342
192,1024,-8533032603924198200,-3534781257490303824
192,1024,-2823626724912273603,-1939648491048824618
192,1024,-141103706498022786,2164994542130256128
192,1024,3061376048925884201,8445480814961615154
192,1024,75767553700096802,315808114129625122
192,1024,-8889615401294058879,-8174366989743281638
192,1024,6595388807513315909,6031496242762670614
192,1024,-6730421071836672698,-153561399179510945
192,1024,-5293665890487585989,786190924549720696
192,1024,-4895019953480842746,-7911751967501380863
192,1024,-8478115128217692619,-7130323918770828185
192,1024,-6093067641800530133,3788363392366522694
192,1024,704826870448160473,7755018101498878100
192,1024,4779849953610321058,3853430497006622450
192,1024,-2432977974268869632,-7794213051327971095
192,1024,-7122049699458257170,2127596860469364328
192,1024,7143780297183681538,6576862711557747412
192,1024,-7299837811540144194,9135421283193435343
192,1024,-1722945689903370424,-227729717077884481
192,1024,-2934923754670579344,-4758088433802844188
192,1024,-2249771674610618973,8152893876241014919
192,1024,927405577642884326,-7053453579425413192
192,1024,-7114612089195252642,8652318853966667446
192,1024,-4110252469713238413,7310900783010448882
192,1024,-8955005911632439062,2471494238199379114
192,1024,5347309225910684657,-4282583967132131311
192,1024,1601045984060109981,6010584354299210838
192,1024,-7091699799158021673,-614576569270107816
192,1024,3336832295676519434,8638309371365916665
192,1024,3903532971392466074,-477122338564431416
192,1024,-7376315251005821183,-7174225080458555150
192,1024,-3368074017412168929,-6982284550160582114
192,1024,7851002081581898146,4101320639568570458
192,1024,1781414032179910270,-5219233379675099013
192,1024,-2005731875415850252,-266459332636916484
