n,m,proc_seed,g_seed
63,195,4865782901354085936,-1959058156631928421
63,195,-7048155917072976836,4938113525860761600
63,195,-931725450029404348,-2077624325542556144
63,195,-7491968275375482579,3845703752634581000
63,195,4928188522590161285,1786238307824052196
63,195,-1007428432199280040,3037069278111072490
63,195,5567713808534132990,-8939083867262601412
63,195,8213794561484772545,-50898489198195996
63,195,-3367828769413532871,1220949610585511547
63,195,8652272787646516959,7911348447704576803
63,195,4864424774366972157,531818514821073507
63,195,-2846324991276127175,3950069680041296326
63,195,8342437786441781908,8681581585807456973
63,195,-8826956906620810791,-8204748687045600133
63,195,2624867767967583412,-6795522981321781717
63,195,6639841583833311213,4161626803331400340
63,195,4485264214934594800,-7430655555564423121
63,195,-3627210669338001931,8484109438989296043
63,195,4394299721970817643,3240128059657989120
63,195,-2388435194267017799,-4675821673927682802
63,195,-8677810281153918397,-5660611880721894707
63,195,-6080983959558420776,-1229597515535108290
63,195,4990271223660687949,4124837400324044879
63,195,-4940478445619517192,-3773224719589149859
63,195,1435060924987946008,484102683516767065
63,195,7558645880288028715,4952408198628401641
63,195,4231686553346609797,1008321115044969292
63,195,1131852855112859753,116073909446303467
63,195,8295856288992347995,-5834107806820141632
63,195,6825482640694017291,9190485822808512449
63,195,1003524909364378106,-6719030014104511205
63,195,87077283397255924,-8419840481237522973
63,195,5780315143936413001,606210043802614743
63,195,2074381856300886851,-8136245010194038283
63,195,1842003053067705283,5067350051054316193
63,195,6659438099934206990,7476436675575330809
63,195,3193380898129957358,-273022222014459027
63,195,6789842420542395666,-6162000692460335752
63,195,-4036208870519070076,8581565959492073262
63,195,-5817915258564311153,-5833321036386946150
63,195,-7941039627319635236,-7156418796562540293
63,195,-64680565417265885,9080987782689522168
63,195,-8787391061493573313,4635012789768510025
63,195,-2889821344194271220,2624082649305182203
63,195,-5065955204473268760,3741101006755283776
63,195,-6521629712367323699,-5539538277578555575
63,195,8483534339471415785,1928540747620113390
63,195,306207011998980863,-4663429438127768358
63,195,5596474893197288460,8766001912211648618
63,195,2415561688245483511,-7151987317256589811
63,195,4380202434070088329,-4041584935330155824
63,195,8631292670878992424,4359390857087817119
63,195,-8348255322499775683,3495419668177778724
63,195,6613423559313926144,716645116004237228
63,195,4498093175633729984,-6560887114415383141
63,195,1197944957068526575,613605654678481347
63,195,6466075703148521455,-226595388134340182
63,195,5892150350406779606,-6270902393196846342
63,195,-8533032603924198200,-3534781257490303824
63,195,-2823626724912273603,-1939648491048824618
63,195,-141103706498022786,2164994542130256128
63,195,3061376048925884201,8445480814961615154
63,195,75767553700096802,315808114129625122
63,195,-8889615401294058879,-8174366989743281638
63,195,6595388807513315909,6031496242762670614
63,195,-6730421071836672698,-153561399179510945
63,195,-5293665890487585989,786190924549720696
63,195,-4895019953480842746,-7911751967501380863
63,195,-8478115128217692619,-7130323918770828185
63,195,-6093067641800530133,3788363392366522694
63,195,704826870448160473,7755018101498878100
63,195,4779849953610321058,3853430497006622450
63,195,-2432977974268869632,-7794213051327971095
63,195,-7122049699458257170,2127596860469364328
63,195,7143780297183681538,6576862711557747412
63,195,-2934923754670579344,-4758088433802844188
63,195,-2249771674610618973,8152893876241014919
63,195,927405577642884326,-7053453579425413192
63,195,-7114612089195252642,8652318853966667446
63,195,-4110252469713238413,7310900783010448882
63,195,-8955005911632439062,2471494238199379114
63,195,5347309225910684657,-4282583967132131311
63,195,1601045984060109981,6010584354299210838
63,195,-7091699799158021673,-614576569270107816
63,195,3336832295676519434,8638309371365916665
63,195,3903532971392466074,-477122338564431416
63,195,-7376315251005821183,-7174225080458555150
63,195,-3368074017412168929,-6982284550160582114
63,195,7851002081581898146,4101320639568570458
63,195,1781414032179910270,-5219233379675099013
63,195,-2005731875415850252,-266459332636916484
63,195,-8061876629057063403,3946049385226632826
63,195,8666215825100270733,-6236871231652932158
63,195,-4610527132693414498,-4461943465651376718
63,195,3471489182795034829,2578709670013379575
63,195,-2659522671159674068,1292531049178181076
63,195,767426359259017111,-4198807884743939903
63,195,-5548487254165645098,-1827325884743049129
63,195,-961034027717401248,7036308865313048782
63,195,8130117026833307241,1593689005917344995
63,195,-3186833388056975723,815986417183888055
63,195,-4688274475244525168,5992138562177206486
63,195,-4702111787035643686,-2815140139703515855
63,195,5686455383375690614,-7518010061230980920
63,195,-7889164560868138139,8440615080926558533
63,195,6780212427269849402,3033131726441664909
63,195,-7837471978059803055,7796719876296805249
63,195,-9040436363238283596,227061041852506626
63,195,5389857439110644266,-9026146917210283264
63,195,-6379260374974269574,-5942838915508101712
63,195,3048277390858951260,2524134625264033873
63,195,5095156425986412729,139950938995754926
63,195,-3324398296493693352,1976054191345508542
63,195,4106771913288012713,5504775972923402456
63,195,3497413837834406751,8356276166880831003
63,195,-3709153676118749505,-8613259388041055995
63,195,-6310687491148408665,-8420096658726094329
63,195,5686257412984183387,-3381795477453816829
63,195,-9022919954083866011,-4226614693921217431
63,195,-2976028929395578145,-3267972621223667464
63,195,-262255250356157661,-2128934529683659535
63,195,1477041329088074449,316069991414733431
63,195,-6915149033389250814,3097662354300445340
63,195,-4915510308051032050,2691439385244247969
63,195,7755666759798643171,-5178027748690106516
63,195,-5059377802604808177,-6737670858571564863
63,195,8421671540769449474,-5979895137008794979
63,195,-1618773136441010883,7228640066780987007
63,195,6962245455349653319,3770032710335785478
63,195,7065279522389621016,-5924340813322720902
63,195,4361144558835651164,5340774581465086018
63,195,-5971655619737811086,4030850522502179316
63,195,-1351170820182440634,-88718043892059955
63,195,5206936989617350988,2243691849327526055
63,195,2526704425521077032,-7831068383299346141
63,195,2369456651399052231,6721373903275120001
63,195,7441894832273784994,5245453618943572404
63,195,7542592590316946940,5080562242639391071
63,195,-5312383149528002304,-9051485283399543579
63,195,7550179348477730778,-786190744111715726
63,195,-3772810767320536571,-6222943289671221479
63,195,523207908882203874,-8622949644084999923
63,195,-8835350773152955814,5476886405987772299
63,195,6185790146177360691,-2970866104707800166
63,195,781024633590528536,-8257612770228585517
63,195,-169538841724490174,7741731923924711260
63,195,-5445077815879985357,88539023953099134
63,195,4561238524719674603,-1114803700593009295
63,195,2755653435066455984,1216409732208220821
63,195,6852448844987146,-7366943623391242911
63,195,5635091034335903124,-8582317246775250737
63,195,-9207789700841130794,-7107455140247544331
63,195,4020793456354624283,-3100970755932018592
63,195,-2258652279740186573,-6500207741124299754
63,195,1049408915293582860,7867283642362987679
63,195,311979994104982318,6586883840495198237
63,195,-6081654966354658996,3887852595325503387
63,195,3293632530362049285,-8844672620893544610
63,195,4589060474169835694,760419464088371391
63,195,8063403168570224815,-402563866178920676
63,195,4934500197861117730,5322470911527118533
63,195,-3621670589500767893,3459179885200353397
63,195,-6094400110944648210,-3316347571159143699
63,195,-8386110092073451218,-7048053468923622083
63,195,-1427818324050055275,4520329381364343092
63,195,-8859207684981352003,7819116846796568231
63,195,3513137975848363416,6165940106612639629
63,195,1936796025639045664,-6587322716759185031
63,195,518220653069452926,49646232942501041
63,195,7120909714539107861,-3881740498651784792
63,195,-7958770669747849130,-4578956397400477856
63,195,2929065396293093886,6389171272882588099
63,195,-8305787042955391476,-2312634177152346705
63,195,-4247166695608294193,8949758155336995214
63,195,4424357552097269667,-6114189965500045803
63,195,1126075426662170964,2295188178363932200
63,195,5264921275013849326,-4493383060822573137
63,195,1459996835633023794,5285601649741206328
63,195,-4390619701134576891,-7614779997070547459
63,195,-6225115782560431821,-5680892410738687511
63,195,-1094235369047891870,-1814514989305967755
63,195,4637074443322822070,2729321101700514622
63,195,-7964820345776178569,8291507126865424879
63,195,-1899869737206855438,-4213423494456516313
63,195,7906391133071828771,-626596015802395636
63,195,-5778234771556538413,-3531278953460450604
63,195,3381276724840912079,3987354894309712148
63,195,2087783198374105746,-3948699049768021117
63,195,-6037838242620856435,-2497733870632537162
63,195,-1850102383508896993,7703472624492595618
63,195,-925769877720280632,-9138286248390754693
63,195,-2036640774506514187,5466554878352469759
63,195,3964852070005237904,7082326301109896299
63,195,7553703080104488658,3431313839095968740
63,195,-7768802446359359229,-1948754069870065496
63,195,5486849668785768337,6135448888746130908
63,195,-1845991550163257109,7579270731833454890
63,195,-8661543426750747268,8409196304174884457
63,195,785379719761695062,7612654357593722358
63,195,-2223019145214881299,-7229280693867323109
63,195,-7756515532185646227,-6193254054191120700
63,195,6271530352434712126,2899505824759674471
63,195,-8956973353534151437,1636931295945673398
63,195,-6845120758797884662,-2295521125625515391
63,195,-1244972209557973701,6273633608218956034
63,195,-8713819662956422098,-9132674178214348426
63,195,-2034640235143344872,-1972680632560428455
63,195,-4696063969922956656,-2179060000857822407
63,195,671551280477279130,-2439786239066556866
63,195,2995486839596379282,5836871737280868623
63,195,-7889963590783812476,-5517248375145721447
63,195,8788096760233183299,7418365043243483091
63,195,6540639416292901986,-1550298500351691714
63,195,-8395008206280626056,4989186269571852559
63,195,236848487585836234,1356953921815629709
63,195,-2393406090167850630,2583351726857860093
63,195,-3455306678665971080,8148649854631505728
63,195,580427838044936282,-6242925805449801941
63,195,3029997814600916717,4704415963028308745
63,195,-4242945095079935444,-1040387775944908823
63,195,5541281280689212966,-4542357034563664425
63,195,-3655413881771784642,4700464322270166599
63,195,-2135465080272914393,-3787281052285749684
63,195,-4408640495764630519,-5504966301875035224
63,195,-6825204931474522349,-6011929179528291931
63,195,-7488299659937303898,1499643015763808163
63,195,-5434201897082605778,-1158550016570750463
63,195,1552114963153033937,-2599059071565785395
63,195,9059896342371162883,8835715470256569640
63,195,-6326644818483022962,-511450322131172655
63,195,-7427026483878552733,-6816326609259655396
63,195,-8419562202685842832,-3798897432061883873
63,195,-3437547557769748838,-2204603609096015152
63,195,-3342562849496054899,4108423703282656761
63,195,481983961593305757,-8295159595216512649
63,195,1348641378986050449,2636935715134661080
63,195,8843582808252879111,-1063558756061223559
63,195,7848042341909374006,990360214917341687
63,195,-6740786690763482133,-3748762662030789170
63,195,9084975897750321264,3373130952121018619
63,195,4549871631797026834,8956920193624535890
63,195,2647124236417782628,-8257641734038847952
63,195,-3553059230584987340,-8649972753715026907
63,195,8849916339455240445,-4733916509720685672
63,195,139127169962578192,8338690485078780359
