n,m,proc_seed,g_seed
36,80,-7048155917072976836,4938113525860761600
36,80,-931725450029404348,-2077624325542556144
36,80,-7491968275375482579,3845703752634581000
36,80,4928188522590161285,1786238307824052196
36,80,-1007428432199280040,3037069278111072490
36,80,5567713808534132990,-8939083867262601412
36,80,8652272787646516959,7911348447704576803
36,80,4864424774366972157,531818514821073507
36,80,-2846324991276127175,3950069680041296326
36,80,8342437786441781908,8681581585807456973
36,80,-8826956906620810791,-8204748687045600133
36,80,2624867767967583412,-6795522981321781717
36,80,6639841583833311213,4161626803331400340
36,80,-3627210669338001931,8484109438989296043
36,80,-8586482847673412536,781881653577774156
36,80,4394299721970817643,3240128059657989120
36,80,-2388435194267017799,-4675821673927682802
36,80,-8677810281153918397,-5660611880721894707
36,80,1442090922070958989,3628209669601976183
36,80,-6080983959558420776,-1229597515535108290
36,80,4990271223660687949,4124837400324044879
36,80,-4940478445619517192,-3773224719589149859
36,80,1435060924987946008,484102683516767065
36,80,7558645880288028715,4952408198628401641
36,80,4231686553346609797,1008321115044969292
36,80,6825482640694017291,9190485822808512449
36,80,1003524909364378106,-6719030014104511205
36,80,87077283397255924,-8419840481237522973
36,80,5780315143936413001,606210043802614743
36,80,6659438099934206990,7476436675575330809
36,80,3193380898129957358,-273022222014459027
36,80,6789842420542395666,-6162000692460335752
36,80,-4036208870519070076,8581565959492073262
36,80,-5817915258564311153,-5833321036386946150
36,80,-7941039627319635236,-7156418796562540293
36,80,-64680565417265885,9080987782689522168
36,80,-8787391061493573313,4635012789768510025
36,80,-5754659086866844192,-2994174941764424985
36,80,-5065955204473268760,3741101006755283776
36,80,-6521629712367323699,-5539538277578555575
36,80,8483534339471415785,1928540747620113390
36,80,5596474893197288460,8766001912211648618
36,80,8631292670878992424,4359390857087817119
36,80,-8348255322499775683,3495419668177778724
36,80,6613423559313926144,716645116004237228
36,80,4498093175633729984,-6560887114415383141
36,80,1197944957068526575,613605654678481347
36,80,6466075703148521455,-226595388134340182
36,80,5892150350406779606,-6270902393196846342
36,80,-8533032603924198200,-3534781257490303824
36,80,-2823626724912273603,-1939648491048824618
36,80,-141103706498022786,2164994542130256128
36,80,3061376048925884201,8445480814961615154
36,80,75767553700096802,315808114129625122
36,80,-8889615401294058879,-8174366989743281638
36,80,6595388807513315909,6031496242762670614
36,80,-6730421071836672698,-153561399179510945
36,80,-5293665890487585989,786190924549720696
36,80,-4895019953480842746,-7911751967501380863
36,80,-8478115128217692619,-7130323918770828185
36,80,-6093067641800530133,3788363392366522694
36,80,704826870448160473,7755018101498878100
36,80,-2432977974268869632,-7794213051327971095
