n,m,proc_seed,g_seed
25,48,-7491968275375482579,3845703752634581000
25,48,4928188522590161285,1786238307824052196
25,48,-1007428432199280040,3037069278111072490
25,48,5567713808534132990,-8939083867262601412
25,48,-3367828769413532871,1220949610585511547
25,48,-2846324991276127175,3950069680041296326
25,48,8342437786441781908,8681581585807456973
25,48,-8826956906620810791,-8204748687045600133
25,48,6639841583833311213,4161626803331400340
25,48,4485264214934594800,-7430655555564423121
25,48,-3627210669338001931,8484109438989296043
25,48,-8586482847673412536,781881653577774156
25,48,4394299721970817643,3240128059657989120
25,48,-2388435194267017799,-4675821673927682802
25,48,-8677810281153918397,-5660611880721894707
25,48,1442090922070958989,3628209669601976183
25,48,-6080983959558420776,-1229597515535108290
25,48,4990271223660687949,4124837400324044879
25,48,-4940478445619517192,-3773224719589149859
25,48,1435060924987946008,484102683516767065
25,48,7558645880288028715,4952408198628401641
25,48,1131852855112859753,116073909446303467
25,48,8295856288992347995,-5834107806820141632
25,48,6825482640694017291,9190485822808512449
25,48,1003524909364378106,-6719030014104511205
25,48,5780315143936413001,606210043802614743
25,48,1842003053067705283,5067350051054316193
25,48,6659438099934206990,7476436675575330809
25,48,3193380898129957358,-273022222014459027
25,48,6789842420542395666,-6162000692460335752
25,48,-4036208870519070076,8581565959492073262
25,48,-5817915258564311153,-5833321036386946150
25,48,-7941039627319635236,-7156418796562540293
25,48,-64680565417265885,9080987782689522168
25,48,-8787391061493573313,4635012789768510025
25,48,-2889821344194271220,2624082649305182203
25,48,-5754659086866844192,-2994174941764424985
25,48,-5065955204473268760,3741101006755283776
25,48,-6521629712367323699,-5539538277578555575
25,48,8483534339471415785,1928540747620113390
25,48,306207011998980863,-4663429438127768358
25,48,2415561688245483511,-7151987317256589811
25,48,4380202434070088329,-4041584935330155824
25,48,-8348255322499775683,3495419668177778724
25,48,6613423559313926144,716645116004237228
25,48,4498093175633729984,-6560887114415383141
25,48,1197944957068526575,613605654678481347
25,48,6466075703148521455,-226595388134340182
25,48,5892150350406779606,-6270902393196846342
