n,m,proc_seed,g_seed
401,960,-7491968275375482579,3845703752634581000
401,960,-2846324991276127175,3950069680041296326
401,960,5892150350406779606,-6270902393196846342
401,960,-7889164560868138139,8440615080926558533
401,960,3985461439986107693,-7500852612695835947
401,960,-1899869737206855438,-4213423494456516313
401,960,3029997814600916717,4704415963028308745
401,960,-6326644818483022962,-511450322131172655
401,960,-3437547557769748838,-2204603609096015152
401,960,847753745713675030,-6240229068965380210
401,960,-1575037752200039804,7225323973407681770
401,960,8491517639306227683,-7911974153821891842
401,960,-4650134449365402055,-4439671161282474440
401,960,-2768410156665054103,-4731899402944664805
401,960,5488542915651034421,4733820059568451407
401,960,-5620077926419572808,3157178881275606043
401,960,-6724684141456024766,7809275087394264630
401,960,-5409882760471276538,-7244977078737705326
401,960,-8226789664513066860,6070253190997884602
401,960,6568782187513969406,3140186313220881410
401,960,-1007745598264431691,3887651833032217931
401,960,-1559747626095950925,-7057173666269487249
401,960,252324489366697710,6702930153655090989
401,960,6996197029643601427,-3556742139795186110
401,960,2520138464083986378,75651842349313780
401,960,-4303008881081103824,-5944891967420316771
401,960,-1960773052195420899,-559860152403792722
401,960,-199993114495192237,1547348249259188316
401,960,2110211015310262198,9201406955829993564
401,960,2962798247558323613,3525433780095424986
401,960,6763269098891727143,-3296081400291018057
401,960,892537940323833074,-6307404904488458644
401,960,-1664424951801530010,-1386585981427677043
401,960,-4180597419511581076,-4381677578008165785
401,960,1859168477436369745,4911502265697643867
401,960,8571187020919300028,7789106246018662335
401,960,-8198819159290403646,5828160891548369927
401,960,5827721310708619732,-8283364435341784086
401,960,1631591203735696129,1258042378501072440
401,960,2742740570015629704,3769004010089120385
401,960,1758035098084851888,-3625855046602249601
401,960,-5886507204222194336,-5144016424846750991
401,960,-1799817690504323067,-8408693606684222861
401,960,-1058874945629256436,1139356586848338017
401,960,-107257191166359729,6589051219092054389
401,960,3706149121968633838,-4733113945481547462
401,960,-2549262483805337117,-8511380025986703128
401,960,-4037061733413937962,-7188855391179234218
401,960,-9161193491424171233,2836235144379541501
401,960,847092772375092820,-699087921030909697
401,960,-8059049435297896401,3744455825503953390
401,960,8575789718166058815,-7334031630864619863
401,960,3208095017591934875,-4721787711110351184
401,960,-6959347133542687684,6911831642918050117
401,960,1649600243482649120,-934797752692844719
401,960,8182797235103640968,7436847588170307132
401,960,811703732858327156,8678865666523365307
401,960,-5207706830893145704,5871668564455414954
401,960,-2964770624574775953,-5825998159243298697
401,960,-8020964502824718767,2515612964527101306
401,960,1755384418293710710,2810680489199546187
401,960,-3158652576541309306,2830639553531649353
401,960,-6336400955212117454,-577457399374198949
401,960,-5028935862541202014,-7301349268818642990
401,960,-2058557229109964075,-3747682970292744497
401,960,-5733528727639645929,2857537348995883071
401,960,-5608016983939355827,8853570949410565651
401,960,1443929220245769085,-7732197920301575827
401,960,8045657183412097208,-1159417250389858282
401,960,-3721644786497162171,-8360688300929163672
401,960,2708132268464554953,-5236024139638951793
401,960,-7900625156841692720,4928479119570292415
401,960,-2733332016616655226,-1177128375841985690
401,960,9101430062090366764,7007687548823076373
401,960,-4256922721516981883,-7403801072544777757
401,960,-756241878131433100,-7554212747416174784
401,960,5926964937364240484,4968920365573139513
401,960,6753649079526820723,6596674381534133372
401,960,-8194071538790765412,8567562512069953192
401,960,-221354716842364769,7770519879805756937
401,960,-3132305254206102068,-7072431047884593490
401,960,7577275866999853080,-2022802381038912488
401,960,-5262013670951070642,-3898473181724646815
401,960,-2558961968511228099,-7379674137242128087
401,960,5497994107364452180,6479109944670598273
401,960,-2738817067845656758,8603249372014184009
401,960,-5231459268924044537,-6862790854618163781
401,960,168540693601772294,6458144598360131511
401,960,4394565436955966320,-4128486299710877906
401,960,-9070099919462373075,9119420888837906946
401,960,-6637279342533958728,-3260922440805385405
401,960,3665027911999950459,3819694715054520460
401,960,8959025203195262081,669949730661996548
401,960,-3279444360984002776,2057841425069659056
401,960,-7300789561994647052,3296657101622982287
401,960,-4237602885296515381,5026608675769482986
401,960,-7686790884461492637,-7630714016135136973
401,960,-4103301435107362909,-8626891808810242818
401,960,8720326334557865710,3929550508116086636
401,960,6682430052282409247,-5531099065097939373
401,960,6602713269539704294,-8916501226032570317
401,960,7914550990889452629,2145756941108442974
401,960,4006168444513765525,-7821334827029272394
401,960,1735305798076199980,1900643429940304611
401,960,1537839544701622854,-7235288905360900319
401,960,1164896676039759174,6137767280326603501
401,960,-4689983025470784566,-4442926815345420355
401,960,8993867675814855924,-4520889294438566938
401,960,-4678675192635266521,-8464553013333924231
401,960,-3236500245105271822,-6263909989438454418
401,960,-897402701774015229,8552838053062000646
401,960,6429557055924694742,6043667503584580755
401,960,6113213281340043264,6863296528023495121
401,960,-7818174938986401095,1785100733248651476
401,960,4265053441073088649,-395819393432194083
401,960,7392278654543902570,6707588618974556231
401,960,-7872497947109853001,1883075095793040128
401,960,8119286376248359847,5270548479072209176
401,960,-854516979894757735,6423861234941103406
401,960,5383911573348546311,3263151690948686548
401,960,8603793750071105977,7931480832574617383
401,960,-6784105741419880897,-3914820600234892644
401,960,1848148805326199075,-7583164964700821409
401,960,-162801156886232454,5809919869269721212
401,960,-2772954348722288806,-8472776320651339493
401,960,9189594173732822854,-6455653660729647771
401,960,-5774583755636271718,7625468785577462014
401,960,-1750779808872297217,-7546189700360655719
401,960,-5356526148618560152,-5160389531733610590
401,960,4457991972063744082,-3513108651081618745
401,960,-8220039907014302104,-1451221538424784764
401,960,8232045378378789615,702517639711034573
401,960,-1699140738931194229,6318544870263836049
401,960,2439229677442090972,515189356733323922
401,960,-2864623741519400910,-7362883265236972054
401,960,-6867608405829148015,7468940206933971948
401,960,1816037982962710264,2209507789977809440
401,960,4644911676552687,-6393843739435574069
401,960,-4032754401111754685,-6711542163007039635
401,960,-4187918071085240767,3436127179781821080
401,960,-9158571959665242847,5337623116540713957
401,960,-6456204673373165664,3871607465414966717
401,960,4223252231002522518,-3734709172960972508
401,960,7151657305319185632,8235285496489955451
401,960,-1539299530961364153,-3494606260006403387
401,960,8836556974671861854,4104144227981591648
401,960,873584936987357806,-8903751337638090457
401,960,-373757042470219917,2756677257795374770
401,960,-2941608719838026034,-699494551088045778
401,960,6815243447326347426,5224917137969984784
401,960,-1158275385658566725,1561068646912052021
401,960,-4154683979344992883,-73699683841276467
401,960,4228858686979605010,3967170491616013363
401,960,-5249812012105900115,-5168549496269924728
401,960,8183631867701024853,-184492827480978387
